株式会社サンリオ,[[1968年]]（[[昭和]]43年）の都市交通審議会答申第10号において、'''東京7号線'''は、「'''[[目黒(東京都)目黒]]方面より[[麻布飯倉片町]]、[[永田町]]、[[市ケ谷]]、[[駒込]]及び[[王子(東京都北区)王子]]の各方面を経て[[赤羽]]方面に至る路線'''」として示された。[[1972年]]（昭和47年）の答申第15号では、将来の検討対象とされていた[[埼玉県埼玉方面]]への延伸区間が'''[[川口市]]中央部'''…'''[[浦和市]]東部'''間と改められた。その後[[1985年]]（昭和60年）の[[運輸政策審議会答申第7号]]では、目黒-清正公前（現：[[白金高輪駅]]）間を[[都営地下鉄三田線都営三田線]]と共用するものとされ、また埼玉県内は[[鳩ヶ谷駅鳩ヶ谷市中央]]経由で[[東川口駅東川口]]から浦和市東部へと変更された。このうち、目黒-赤羽岩淵間が南北線として順次開業しており、また赤羽岩淵-[[浦和美園駅浦和美園]]間は[[埼玉高速鉄道線]]として開業している。7号という路線番号が示すように、計画そのものは[[1960年代]]になされていたが、着工は大幅に遅れ、[[1991年]]（[[平成]]3年）に部分開業、[[2000年]]（平成12年）に全線開業した。後発路線のため、全体的に地中深い駅が多いのが特徴である。当初の建設計画では第1期工事区間を[[駒込駅駒込]]-赤羽岩淵間、第2期工事区間を目黒-駒込間としていたが、第2期工事区間を[[溜池山王駅溜池山王]]-駒込間（その1）、目黒-溜池山王間（その2）に分割したため、実際は3区間に分けて建設された。第1期区間は順調に建設がされたが、第2期区間は[[埋蔵文化財]]の発掘や[[住民]]の反対運動で建設は遅れ、当初の全線開業予定の[[1995年]]（平成7年）9月から2000年（平成12年）9月へと大きく延期されることとなった&lt;refname&quot;Namboku&quot;&gt;帝都高速交通営団「東京地下鉄道南北線建設史」参照。&lt;/ref&gt;。また、第2期開業にあたっては駒込駅-溜池山王駅までを一気に開業させる予定であった。しかし、[[東京メトロ銀座線銀座線]]の新駅設置工事や[[東京メトロ丸ノ内線丸ノ内線]]・[[東京メトロ千代田線千代田線]]の既設路線交差部において難工事となったため、工期に時間を要することとなった。本路線の建設費用は総額5604億円である。内訳は土木関係費が4136億4517万9000円、電気関係費が590億8743万6000円、車両関係費が302億4814万円、その他が574億1924万5000円となっている。本路線の路線名称は[[帝都高速度交通営団営団地下鉄]]職員より社内公募を行ったもので、応募は3830通（341線名）があった。選考の結果、「南北線」が1741通と約半数を占め、また本路線が地理上から、ほぼ南北に貫通していること、[[東京メトロ東西線東西線]]に対比して南北方向の路線として最もふさわしい路線名称であることから「南北線」という路線名称が選ばれた&lt;!--南北線建設史参照。--&gt;。飯田橋駅-永田町駅間では有楽町線と並行しているが、有楽町線が麹町経由であるのに対して南北線は四ツ谷経由であることが異なっている。
株式会社パシフィックソーワ,鋳鋼品・鍛鋼品・機械製品・金属材料を扱う専門商社である。1956年に[[大平洋金属]]の全額出資によって創業、2003年に当時グループ会社である大平洋製鋼（鍛造メーカー）、大平洋特殊鋳造（鋳造メーカー）、[[米子製鋼]]（鋳造メーカー）の株式交換による子会社化を行い、経営統合した。
株式会社ティムコ,謳い文句は「最旬、ドラマチックヒロイン誌」&lt;ref&gt;公式ページのタイトル。{{Citeweburlhttp://www.dokidokivisual.com/carinotitleまんがタイムきららCarino最旬！ドラマチック☆ヒロイン誌accessdate2013-1-30}}&lt;/ref&gt;&lt;ref&gt;{{citenewstitleまんがタイムきららカリノ誕生、蒼樹うめが新作を連載newspaperコミックナタリーdate2012-1-27urlhttp://natalie.mu/comic/news/63444accessdate2013-01-20quote「最旬、ドラマチックヒロイン誌」を謳い、きららの流れを受け継いだストーリー作品を掲載していく。}}&lt;/ref&gt;。4コマ漫画誌である『[[まんがタイムきらら]]』に対し、ストーリー漫画で構成されている。代表作は創刊時から表紙を飾る[[蒼樹うめ]]の「マドの向こう側」。季刊誌を銘うっているが[[雑誌コード]]上はコミックスであり、[[まんがタイムきらら#まんがタイムKRコミックスまんがタイムKRコミックス]]（[[アンソロジーコミック]]）扱いの単行本として発刊されている。
ナラサキ産業株式会社,ナラサキ産業株式会社は、[[1902年]]より創業し、[[室蘭市]]で発祥し、かつ港湾運送業も手がけてきたが、機械販売や燃料販売に重点が移り、2013年現在も活動を続けている&lt;refname&quot;enk&quot;&gt;[http://www.narasaki.co.jp/company/history.htmlナラサキ産業株式会社ホームページ会社情報・沿革]&lt;/ref&gt;。ナラサキ産業株式会社は、[[三菱電機]]の代理店として、工場などの電気設備を販売している&lt;refname&quot;jig&quot;&gt;[http://www.narasaki.co.jp/company/section.htmlナラサキ産業株式会社ホームページ会社情報・事業紹介]&lt;/ref&gt;。電機関連分野が、2012年度で、営業利益単体全体11億円ほどのところ8億円ほどを計上している&lt;refname&quot;ir&quot;&gt;[http://www.narasaki.co.jp/ir/plan.htmlナラサキ産業株式会社ホームページIR情報・中期経営計画]&lt;/ref&gt;。空調衛生設備機器、昇降機設備、冷凍冷蔵設備機器、受変電設備、非常用自家発電設備、駐車場設備、大型映像装置、ビル管理システム、セキュリティシステム等を扱っている&lt;refname&quot;jig&quot;/&gt;。農業施設設備、建設機械販売も手がけている&lt;refname&quot;jig&quot;/&gt;。なお、売上高の多くは、資材燃料関連分野であり、2012年度で、単体全体788億円のところ、500億円ほどを計上している&lt;refname&quot;ir&quot;/&gt;。
日野トレーディング株式会社,現在の事業内容*トラック・バス・乗用車用部品および用品の販売*内燃機械・その他の動力機械器具および部品の販売*生産設備の販売、修理・改造・保全ならびに据付工事の請負*産業用機械器具および工具の販売*安全保護具および各種ユニフォームの販売*潤滑油およびその他の石油製品の販売*什器・備品および事務用品の販売*日用雑貨品・家庭用品の販売*各種損害保険代理業務および生命保険代理業務*旅行代理店業務
三瀧商事株式会社,[[1877年]]（[[明治]]10年）に創業&lt;refname&quot;mitaki&quot;/&gt;&lt;refname&quot;mainichi20131012&quot;/&gt;。[[2012年]]3月期の売上高は52億円&lt;refname&quot;chunichi20131011&quot;/&gt;、関連会社である'''ミタキライス'''を含めると80億円&lt;refname&quot;mainichi20131012&quot;/&gt;&lt;refname&quot;chunichi20131011&quot;/&gt;&lt;refname&quot;asahi20131001&quot;/&gt;。地元では優良企業&lt;refname&quot;mainichi20131012&quot;/&gt;&lt;refname&quot;asahi20131001&quot;/&gt;、有力企業&lt;refname&quot;chunichi20131011&quot;/&gt;であったとされ、三重県内での米卸業者ではトップであったと報じられている&lt;ref&gt;{{Citewebdate2013-10-07urlhttp://www.j-cast.com/tv/2013/10/07185554.htmltitle「イオン」販売の弁当やおにぎり偽装…国産米に中国米・アメリカ米混ぜ合わせ（ワイドショー事件簿）workJ-CASTテレビウォッチpublisher[[ジェイ・キャスト]]language[[日本語]]accessdate2013-10-14}}&lt;/ref&gt;。
株式会社キューブイノベーション,作詞者の石森和男は[[陸奥国]]（後に[[陸前国]]）&lt;!--出生時に宮城県は成立しておらず、数え10歳の時に陸奥国が分国されているので正確に記述--&gt;[[登米郡]]（現在の[[宮城県]][[登米市]]）出身で、[[東京帝国大学]]文学部を経て[[北海道第一師範学校札幌師範学校]]（現在の[[北海道教育大学]]札幌校）他の教諭を歴任する傍ら、[[歌人]]として活動した。本曲は発表翌年の[[1909年]]（明治42年）に[[文部省]]検定を経た後、[[大正]]から[[昭和]]初期にかけて[[北海道]]全域で広く愛唱されるようになり村の行事や小学校の運動会でも演奏されたという&lt;ref&gt;[http://www.town.kamifurano.hokkaido.jp/hp/saguru/0905iwata.htm明治四十二年文部省検定唱歌「我等が愛する北海道」について]（[[上富良野町]]）&lt;/ref&gt;。北海道が正式な[[都道府県民歌道民歌]]を制定したのは[[1966年]]（昭和41年）の「[[光あふれて]]」他2曲が最初である。ところが、[[1970年]]（昭和45年）刊行の都道府県歌集では正式な道民歌が制定された旨を記載しつつ「永い間歌いつがれてきた歌として」との注釈を添えて「光あふれて」でなく「われらが愛する北海道」を掲載しており&lt;ref&gt;西崎嘉太郎/日本青少年音楽教育センター監修『日本うたの地図』（しなの出版、1970年）、10-11ページ。&lt;/ref&gt;、遅くとも[[1960年代]]までは北海道民の間で非常に広く浸透した歌であったことがうかがえる。[[1958年]]（昭和33年）、[[札幌市]][[中央区(札幌市)中央区]]の[[藻岩山#もいわ山ロープウェイもいわ山ロープウェイ]]もいわ山麓駅の近くに本曲の歌碑が建立された。[[1981年]]（昭和56年）には、和男の長男で[[児童文学]]作家の[[石森延男]]を顕彰する「ふるさとサッポロよ人も自然も美しくあれ」の碑が和男の碑と親子対になる形で建立されている&lt;ref&gt;{{Citenewsdate2012-08-17urlhttp://www.asahi.com/area/hokkaido/articles/MTW20120817010960001.htmltitle父親譲りの文才石森延男publisher[[朝日新聞社]]work[[朝日新聞デジタル]]accessdate2013-11-15}}&lt;/ref&gt;。
ダイキサウンド株式会社,[[国道365号]]員弁バイパスに接し、[[東海環状自動車道]][[東員インターチェンジ]]にも隣接した郊外型大型ショッピングモールである&lt;ref&gt;[http://www.aeonmall.com/upload/1365386827.pdf「(仮称)イオンモール東員」(三重県)の開発計画について(イオンモール)]&lt;/ref&gt;&lt;ref&gt;[http://www.pref.mie.lg.jp/KIGYORI/HP/daiten/77640020887.htm大規模小売店舗立地法の手続き(仮称)イオンモール東員(三重県)]&lt;/ref&gt;。なお、当ショッピングセンターは三重県で6店目のイオンモールである。
株式会社ノア,[[長春軌道客車]]によって合計80両が製造された。当初、主に[[北京地下鉄]][[北京地下鉄1号線1号線]]で運用され、のちに天津地下鉄に支援用として3両が投入された（該当の101-103号は、「主席号」と命名された）。1両に3箇所の客用扉を備え、正面に非常用ドアが装備されている。一つ前の形式である[[北京地下鉄DK1型電車DK1型]]と比較すると、北京地下鉄の[[車両限界]]に適応するよう寸法が変更されている。
株式会社フーマイスターエレクトロニクス,[[日立製作所株式会社日立製作所]]の製造販売する電子部品をLGグループ向けに専門に取り扱う事を趣旨として代理店契約を締結し、設立された&lt;refname&quot;enkaku&quot;&gt;[http://www.fuco-ele.co.jp/info/history.html会社沿革]&lt;/ref&gt;。
株式会社ヤギ,2010年（平成22年）4月に西鉄に入社、同年7月に広報室に配属された架空の女性社員という設定で、西鉄の[[コマーシャルメッセージテレビCM]]やポスターに登場するほか、イベントに出演することもある。'''設定内容'''&lt;refname&quot;nishitetu_20101206&quot;/&gt;*西鉄広報室に配属された入社1年目の女性社員。*彼女が企業の“広報ウーマン”として日々の業務に奮闘しながら成長していく過程がみられる。*にしてつグループの多様な事業をPRするといった“地域とともに歩み、ともに発展する”企業としての“企業発信型”の広告展開を行うために制作。2014年（平成26年）3月31日、『広報室を卒業』した。
三国商事株式会社,{class&quot;wikitable&quot;!初出『トレフル』1982年6月号〜11月号-!収録書籍『[[カンガルー日和]]』（[[平凡社]]、1983年9月）}翻訳版は下記参照のこと。
江守商事株式会社,旧江守商事の[[持株会社]]制移行に伴い2013年（平成25年）4月に分割準備会社として設立された。その後、親会社であった江守グループホールディングス（後の[[サスティナ(企業)サスティナ]]）の[[民事再生法]]適用の申請に伴い、[[興和紡]]とジェイ・ウィル・パートナーズの共同出資により設立された[[特定目的会社]]江守コーポレーションの傘下となる。2017年（平成29年）4月には、江守コーポレーションが保有する江守商事の株式を興和が取得し、同社の子会社となっている。
四国ガス燃料株式会社,[[パキスタン]]が独立を勝ち取った際、国内には哲学に関する大学はラホール国立大学のただひとつしかなかった。現代では、パキスタンの異なる大学に7つの哲学科が設置されており、多くのパキスタンの哲学者が様々な哲学分野において研究を行っている。パキスタンの哲学に関する注目すべき機関として、パキスタン哲学会議がある。これは[[イギリス]]の哲学者[[ジョージ・エドワード・ムーア]]の弟子であるM.M.シャリーフにより1954年に創設されたイスラム哲学に関する機関である。また、この機関はイスラム哲学の他にも様々な哲学分野の研究に勤しむグループが存在している。パキスタン哲学は[[西洋哲学]]に多大な影響を受けている一方で、従来より存在した[[イスラム哲学]]の伝統の要素を色濃く残している。パキスタン哲学の学派の中には現代西洋哲学のあらゆる分野の研究者がおり、この中には伝統的な[[形而上学]]に関心をもつ数多くのパキスタン哲学者が含まれている。著名なパキスタン哲学者としては以下の人物があげられる。[[ムハンマド・イクバール]]、イルファン・ムハンマド(KU)、M.M.シャリーフ、ハリーファ・アブドゥル・ハキーム、C.A.カーディル、カーズィー・A.カーディル、アテル・ラシード、アブサール・アフマド、インタサール・ウッハーク、ワヒード・アリー・ファルーキー、B.H.シディーキー、サージド・アリー、アブドゥル・ハーリク、ナイーム・アフメド、アブドゥル・ハーフィーズ、ムハンマド・マールーフ、ミールザー・アテル・ベイグ、シャヒード・ホサイン、ファズルール・レフマン、シェフザード・カイセル、マンズール・アフメド、ガザラ・イルファン、ジャヴェド・ブート、サイード・ザファルール・ハサン、ロビーナ・ローディー。
八木兵株式会社,ファッション衣料、実用衣料を中心として、寝装寝具、服飾雑貨、事務備品などの生活必需品を取り扱う総合繊維現金卸商社。「[[名古屋式経営]]」と呼ばれる堅実経営によって培われた信用力を背景とした仕入を行い、同社の東京、大阪、名古屋の店舗を通じた小売店への全国販売網を構築している&lt;refname&quot;commapnyprofile2&quot;&gt;{{Citeweburlhttp://www.yagihyo.co.jp/company/com-s1.htmltitle八木兵株式会社
